"id.site","obs.year","eco.name","region","mngm.type","hydrology","site.cwm.pres.oek.f","site.type","rest.meth","rest.meth.type","land.use.hist","rest.age","pH.site"
"M_WUR","2022","Central European mixed forests","centre","mowing","moist",6.64,"positive",NA,"positive",NA,NA,7.35
"N_AFE","2023","European Atlantic mixed forests","north","both","fresh",4.805,"restored","cus","cus","arable land",34,4.73
"N_ALA","2022","European Atlantic mixed forests","north","mowing","fresh",5.1875,"restored","res","res","grassland",6,5.805
"N_ARE","2022","European Atlantic mixed forests","north","mowing","fresh",4.805,"restored","res","res","arable land",3,4.945
"N_BEB","2022","European Atlantic mixed forests","north","both","fresh",5.05,"restored","cus","cus","arable land",29,4.15
"N_BEN","2023","European Atlantic mixed forests","north","mowing","fresh",5.365,"negative",NA,"negative",NA,NA,4.625
"N_BIT","2022","European Atlantic mixed forests","north","grazing","fresh",4.71,"restored","dih","dih","grassland",4,4.44
"N_BLE","2023","European Atlantic mixed forests","north","mowing","fresh",4.785,"positive",NA,"positive",NA,NA,5.175
"N_BLU","2022","European Atlantic mixed forests","north","mowing","fresh",4.9875,"restored","cus","cus","arable land",28,5.165
"N_BRD","2022","European Atlantic mixed forests","north","both","fresh",6.4525,"restored","dih","dih","grassland",3,4.11
"N_BRE","2022","European Atlantic mixed forests","north","mowing","dry",4.005,"restored","res","res","arable land",4,4.595
"N_BRO","2023","European Atlantic mixed forests","north","grazing","dry",3.8625,"restored","dih","dih","arable land",8,4.535
"N_BU1","2022","European Atlantic mixed forests","north","grazing","fresh",5.4275,"negative",NA,"negative",NA,NA,4.435
"N_BU2","2022","European Atlantic mixed forests","north","grazing","moist",6.2775,"negative",NA,"negative",NA,NA,5.67
"N_CAM","2023","European Atlantic mixed forests","north","grazing","dry",3.7625,"positive",NA,"positive",NA,NA,4.595
"N_CNI","2023","European Atlantic mixed forests","north","both","moist",4.24,"restored","mga","mga","grassland",16,5.32
"N_DAM","2022","European Atlantic mixed forests","north","mowing","fresh",4.46,"restored","res","res","arable land",7,5.915
"N_DUM","2023","European Atlantic mixed forests","north","mowing","moist",6.645,"positive",NA,"positive",NA,NA,5.08
"N_EIC","2023","European Atlantic mixed forests","north","both","dry",4.1,"restored","dih","dih","grassland",6,4.395
"N_ELB","2023","European Atlantic mixed forests","north","grazing","fresh",5.065,"restored","res","res","arable land",5,5.475
"N_FLA","2023","European Atlantic mixed forests","north","mowing","moist",6.83,"negative",NA,"negative",NA,NA,4.99
"N_GAM","2022","European Atlantic mixed forests","north","both","fresh",5.2775,"restored","cus","cus","arable land",30,5.42
"N_GAR","2022","European Atlantic mixed forests","north","mowing","fresh",5.475,"restored","cus","cus","arable land",17,5.375
"N_GBI","2022","European Atlantic mixed forests","north","mowing","moist",5.545,"positive",NA,"positive",NA,NA,6.7
"N_GUT","2023","European Atlantic mixed forests","north","mowing","fresh",5.4625,"restored","res","res","arable land",8,6.35
"N_HAI","2022","European Atlantic mixed forests","north","grazing","moist",5.885,"restored","mga","mga","grassland",3,4.745
"N_HOH","2023","European Atlantic mixed forests","north","both","dry",4.29,"restored","mga","mga","arable land",7,4.56
"N_HOR","2022","European Atlantic mixed forests","north","mowing","dry",4.2975,"restored","cus","cus","arable land",4,5.67
